line         score     log(score)
 avg  4.922996e-11     -23.734519
 tot  0.000000e+00 -688301.042368

  line         score  log(score)
   185  1.782380e-07  -15.540146
   186  8.493840e-08  -16.281340
   187  3.583833e-15  -33.262344
   188  5.302892e-04   -7.542088
   189  9.541176e-04   -6.954724
   190  7.616006e-08  -16.390429
   191  2.093858e-05  -10.773917
   192  1.067201e-09  -20.658226
   193  8.281812e-03   -4.793694
   194  4.963650e-06  -12.213369
   195  2.452764e-08  -17.523465
   196  4.062478e-09  -19.321473
   197  8.621626e-20  -43.897428
   198  2.628070e-05  -10.546676
   199  6.665936e-04   -7.313330
   200  7.769099e-05   -9.462771
   201  1.823452e-08  -17.819949
   202  1.262457e-07  -15.885036
   203  2.502481e-05  -10.595643
   204  2.158186e-09  -19.953998
   205  6.325056e-08  -16.576162
   206  2.960282e-06  -12.730226
   207  1.949741e-11  -24.660739
   208  4.486218e-09  -19.222256
   209  1.409754e-06  -13.472096
   210  3.855458e-03   -5.558266
   211  8.130295e-08  -16.325083
   212  4.620056e-08  -16.890274
   213  1.708296e-04   -8.674844
   214  2.394664e-06  -12.942268
   215  2.096395e-05  -10.772706
   216  3.542379e-12  -26.366222
   217  8.016739e-07  -14.036564
   218  1.495279e-17  -38.741634
   219  5.883684e-03   -5.135572
   220  1.050250e-08  -18.371652
   221  5.503705e-08  -16.715259
   222  1.606843e-30  -68.603282
   223  7.661782e-06  -11.779266
   224  6.041319e-07  -14.319473
   225  6.756842e-05   -9.602370
   226  2.672788e-16  -35.858239
   227  1.029716e-07  -16.088813
   228  1.587854e-16  -36.378978
   229  3.493230e-09  -19.472439
   230  1.226684e-06  -13.611196
   231  1.758310e-03   -6.343402
   232  1.051249e-27  -62.119819
   233  4.228300e-10  -21.584051
   234  1.101345e-09  -20.626733
   235  4.880116e-09  -19.138097
   236  5.965606e-06  -12.029500
   237  8.039124e-07  -14.033776
   238  7.439500e-43  -97.004355
   239  6.678912e-08  -16.521726
   240  5.601984e-15  -32.815655
   241  5.898988e-16  -35.066581
   242  6.056352e-07  -14.316988
   243  4.321574e-13  -28.469987
   244  1.742348e-10  -22.470617
   245  1.815581e-06  -13.219105
   246  1.801259e-03   -6.319270
   247  1.512760e-08  -18.006745
   248  8.709119e-08  -16.256310
   249  4.184679e-06  -12.384081
   250  1.664371e-04   -8.700893
   251  9.618698e-16  -34.577653
   252  3.592416e-05  -10.234101
   253  2.824155e-04   -8.172131
